id_arbol;altura_tot;diametro;inclinacion;id_especie;nombre_comun;nombre_cientifico;tipo_follaje;espacio_verde;ubicacion;nombre_familia;nombre_gen;origen;coord_x;coord_y;lat;lon
1910;8;17;0;369;Lapacho;Tabebuia sp.;No Determinado;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Bignoniáceas;Tabebuia;No Determinado;102828;101172;-34.6187;-58.4325
1911;6;13;10;369;Lapacho;Tabebuia sp.;No Determinado;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Bignoniáceas;Tabebuia;No Determinado;102805;101362;-34.617;-58.4327
1912;7;21;0;369;Lapacho;Tabebuia sp.;No Determinado;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Bignoniáceas;Tabebuia;No Determinado;102815;101375;-34.6169;-58.4326
1913;8;23;0;369;Lapacho;Tabebuia sp.;No Determinado;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Bignoniáceas;Tabebuia;No Determinado;102591;101268;-34.6178;-58.435
1914;7;22;20;369;Lapacho;Tabebuia sp.;No Determinado;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Bignoniáceas;Tabebuia;No Determinado;102593;101274;-34.6178;-58.435
1915;7;19;0;369;Lapacho;Tabebuia sp.;No Determinado;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Bignoniáceas;Tabebuia;No Determinado;102605;101281;-34.6177;-58.4349
1916;1;80;6;999;No Determinable;No Determinable;No Determinado;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;No identificada;No identificado;No Determinado;102773;101181;-34.6186;-58.4331
1917;1;50;8;999;No Determinable;No Determinable;No Determinado;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;No identificada;No identificado;No Determinado;102759;101220;-34.6183;-58.4332
1918;20;85;0;342;Ciprés;Cupressus sp.;Árbol Conífero Perenne;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Cupresáceas;Cupressus;Exótico;102735;101258;-34.6179;-58.4335
1919;20;32;0;342;Ciprés;Cupressus sp.;Árbol Conífero Perenne;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Cupresáceas;Cupressus;Exótico;102736;101264;-34.6179;-58.4335
1920;7;26;0;304;Juniperus;Juniperus sp.;Árbol Conífero Perenne;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Cupresáceas;Juniperus;Exótico;102732;101284;-34.6177;-58.4335
1921;4;15;0;380;Cotoneaster;Cotoneaster sp.;No Determinado;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Rosáceas;Cotoneaster;No Determinado;102728;101291;-34.6176;-58.4336
1922;1;63;6;999;No Determinable;No Determinable;No Determinado;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;No identificada;No identificado;No Determinado;102829;101317;-34.6174;-58.4324
1923;5;17;12;333;Arce;Acer sp.;No Determinado;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Aceráceas;Acer;Exótico;102811;101168;-34.6187;-58.4326
2177;2;20;0;79;Magnolia;Magnolia grandiflora;Árbol Latifoliado Perenne;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Magnoliáceas;Magnolia;Exótico;102659;101192;-34.6185;-58.4343
2178;17;58;1;9;Ligustro;Ligustrum lucidum;Árbol Latifoliado Perenne;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Oleáceas;Ligustrum;Exótico;102719;101214;-34.6183;-58.4337
2661;7;125;0;204;Palmera del senegal;Phoenix reclinata;Palmera;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Arecaceas;Phoenix;Exótico;102791;101253;-34.618;-58.4329
2593;17;94;0;9;Ligustro;Ligustrum lucidum;Árbol Latifoliado Perenne;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Oleáceas;Ligustrum;Exótico;102784;101361;-34.617;-58.4329
2592;4;30;0;380;Cotoneaster;Cotoneaster sp.;No Determinado;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Rosáceas;Cotoneaster;No Determinado;102792;101347;-34.6171;-58.4329
2594;6;7;0;79;Magnolia;Magnolia grandiflora;Árbol Latifoliado Perenne;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Magnoliáceas;Magnolia;Exótico;102807;101230;-34.6182;-58.4327
2595;12;50;0;79;Magnolia;Magnolia grandiflora;Árbol Latifoliado Perenne;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Magnoliáceas;Magnolia;Exótico;102811;101232;-34.6182;-58.4327
2596;11;32;30;43;Pata de vaca  (Pezuña de vaca);Bauhinia forticata;Árbol Latifoliado Caducifolio;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Leguminosas;Bauhinia;Nativo/Autóctono;102815;101222;-34.6183;-58.4326
2597;11;27;25;43;Pata de vaca  (Pezuña de vaca);Bauhinia forticata;Árbol Latifoliado Caducifolio;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Leguminosas;Bauhinia;Nativo/Autóctono;102815;101220;-34.6183;-58.4326
