Provincia;Poblacion
CIUDAD AUTÓNOMA DE BUENOS AIRES;2890151,00
BUENOS AIRES;15625084,00
CATAMARCA;367828,00
CHACO;1055259,00
CHUBUT;509108,00
CÓRDOBA;3308876,00
CORRIENTES;992595,00
ENTRE RÍOS;1235994,00
FORMOSA;530162,00
JUJUY;673307,00
LA PAMPA;318951,00
LA RIOJA;333642,00
MENDOZA;1738929,00
MISIONES;1101593,00
NEUQUÉN;551266,00
RÍO NEGRO;638645,00
SALTA;1214441,00
SAN JUAN;681055,00
SAN LUIS;432310,00
SANTA CRUZ;273964,00
SANTA FE;3194537,00
SANTIAGO DEL ESTERO;874006,00
TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR;127205,00
TUCUMÁN;1448188,00
